word,bias_C1,bias_C2,bias_C3,bias_C4,bias_C5,bias_C6,bias_C7,bias_C8,bias_C9,bias_C10,bias_C11,bias_C12,bias_C13,bias_C14,bias_C15
donations,0.8785756256862745,1.2370059941666667,-1.0855906386519607,-5.050210903872548,-4.508310473088235,-0.844761733127451,-1.0400317441862745,-2.8593710024509806,-4.1028047116176465,2.6086101589313726,-2.042007886235294,3.198726003313726,-2.421181279460784,0.6986242305,-3.3322277287058824
colleges,2.711843760735294,-0.2816109857352942,-4.957660899264706,3.5923940787941175,5.2544824108823525,1.1696501680882352,0.09068417691176464,3.455973844264706,4.5414211083823535,9.144609110441177,-2.960697395735294,-6.702119109352941,-7.535551313661765,0.27135451414705886,-4.578921369948529
contributors,-8.1747811574,3.48671599175,-0.31386156490000006,1.2181755744500002,-5.151816902499999,8.628385060500001,0.45168464399999997,-5.881092412699999,-0.8060584319999999,-0.540339035425,0.39264643574999997,-5.4672497195,-2.5387930845,2.14357824287,5.8093525024999995
arguments,-1.5371124408124999,2.4024965424999998,-4.8710817940624995,0.230293808125,-3.7440242843749996,6.718827198375,2.9464505415625,-3.5707294978124997,-0.69397335375,4.838669249375,-1.5669342220312499,-1.7645731597812502,-2.3354176446875003,1.9846244156250001,1.46369482959375
intervention,-4.999602968531469,3.384975602867133,-4.616859379412587,-3.8374395004895105,6.244312719930071,-0.1973022582517483,-1.9848989516783218,-2.4023111790909093,-4.577646321398602,0.3674777528951049,5.3442688966433565,2.138707990699301,-1.8402125876783217,1.121986083076923,0.8029114041258741
philology,4.49334671295,5.090054743,2.65516997795,3.82349154275,2.8023876105,-2.4523324335999996,0.5721278168500001,1.825965586,1.36318205125,5.519882197,2.5837878285,5.3570901509999995,-2.0564419995,0.4397217164999999,2.4552118602
mangroves,3.6310152083333334,8.033982503333334,5.495892195000001,-4.941422934333334,-4.986553160000001,-4.188095885,3.6977006196666666,-1.7651475783333332,-1.22269031,1.897213769333333,-1.3248506416666666,3.4925522333333334,0.10331409,-6.396286316666666,7.2040141
conquerors,0.88215372,-0.5580806815999999,-0.9142467240000001,-0.033721829999999994,2.0287771446000002,-1.570696678,1.0601566999999998,-1.335799095,-1.58809404,-1.654788318,0.9150619919999998,-2.0275981,0.510548652,0.617706152,0.035816018000000005
attribution,-4.1226145,-6.409785380000001,-4.016151125,-3.7148525800000005,6.702427825,-2.04348875,-1.1513967575,-0.42665775749999996,-4.18794374,-0.842026215,-1.5498805500000001,2.80886737,-0.40868185999999995,1.6570734925000001,3.3941133
thighs,1.5224446999999999,2.8726677250000003,4.930908075,2.0323993,0.24512187499999993,-6.2191342175,-0.6386688150000002,0.6115401675000001,0.59932195,0.2928383691,-7.341310335,-2.613572519,-3.4697141575,1.63114963,0.3728237000000001
