[20:26:07] [PID:719653] Total jobs: 236
[20:26:07] [PID:719653] Starting extraction...
[20:26:28] [PID:719667] done: BabyLM-1.3B | 1455 | attn_zeroed | words_only
[20:26:28] [PID:719664] done: BabyLM-1.3B | 582 | default | mean_pooled
[20:26:28] [PID:719666] done: BabyLM-1.3B | 582 | attn_zeroed | mean_pooled
[20:26:28] [PID:719665] done: BabyLM-1.3B | 3686 | default | words_only
[20:26:28] [PID:719667] done: BabyLM-1.3B | 3686 | attn_zeroed | words_only
[20:26:28] [PID:719664] done: BabyLM-1.3B | 1455 | default | mean_pooled
[20:26:29] [PID:719666] done: BabyLM-1.3B | 1455 | attn_zeroed | mean_pooled
[20:26:29] [PID:719665] done: BabyLM-1.3B | 9021 | default | words_only
[20:26:29] [PID:719667] done: BabyLM-1.3B | 9021 | attn_zeroed | words_only
[20:26:29] [PID:719664] done: BabyLM-1.3B | 3686 | default | mean_pooled
[20:26:29] [PID:719666] done: BabyLM-1.3B | 3686 | attn_zeroed | mean_pooled
[20:26:29] [PID:719665] done: Pythia-160M | 16 | default | words_only
[20:26:30] [PID:719667] done: Pythia-160M | 16 | attn_zeroed | words_only
[20:26:30] [PID:719664] done: BabyLM-1.3B | 9021 | default | mean_pooled
[20:26:30] [PID:719666] done: BabyLM-1.3B | 9021 | attn_zeroed | mean_pooled
[20:26:30] [PID:719665] done: Pythia-160M | 32 | default | words_only
[20:26:30] [PID:719667] done: Pythia-160M | 32 | attn_zeroed | words_only
[20:26:30] [PID:719664] done: Pythia-160M | 16 | default | mean_pooled
[20:26:30] [PID:719666] done: Pythia-160M | 16 | attn_zeroed | mean_pooled
[20:26:30] [PID:719665] done: Pythia-160M | 64 | default | words_only
[20:26:31] [PID:719667] done: Pythia-160M | 64 | attn_zeroed | words_only
[20:26:31] [PID:719664] done: Pythia-160M | 32 | default | mean_pooled
[20:26:31] [PID:719666] done: Pythia-160M | 32 | attn_zeroed | mean_pooled
[20:26:31] [PID:719665] done: Pythia-160M | 256 | default | words_only
[20:26:31] [PID:719667] done: Pythia-160M | 256 | attn_zeroed | words_only
[20:26:31] [PID:719664] done: Pythia-160M | 64 | default | mean_pooled
[20:26:32] [PID:719666] done: Pythia-160M | 64 | attn_zeroed | mean_pooled
[20:26:32] [PID:719665] done: Pythia-160M | 512 | default | words_only
[20:26:32] [PID:719667] done: Pythia-160M | 512 | attn_zeroed | words_only
[20:26:32] [PID:719664] done: Pythia-160M | 256 | default | mean_pooled
[20:26:32] [PID:719665] done: Pythia-160M | 1000 | default | words_only
[20:26:32] [PID:719666] done: Pythia-160M | 256 | attn_zeroed | mean_pooled
[20:26:32] [PID:719667] done: Pythia-160M | 1000 | attn_zeroed | words_only
[20:26:33] [PID:719664] done: Pythia-160M | 512 | default | mean_pooled
[20:26:33] [PID:719665] done: Pythia-410M | 16 | default | words_only
[20:26:33] [PID:719666] done: Pythia-160M | 512 | attn_zeroed | mean_pooled
[20:26:33] [PID:719667] done: Pythia-410M | 16 | attn_zeroed | words_only
[20:26:33] [PID:719664] done: Pythia-160M | 1000 | default | mean_pooled
[20:26:33] [PID:719665] done: Pythia-410M | 32 | default | words_only
[20:26:33] [PID:719666] done: Pythia-160M | 1000 | attn_zeroed | mean_pooled
[20:26:34] [PID:719667] done: Pythia-410M | 32 | attn_zeroed | words_only
[20:26:34] [PID:719665] done: Pythia-410M | 64 | default | words_only
[20:26:34] [PID:719664] done: Pythia-410M | 16 | default | mean_pooled
[20:26:34] [PID:719666] done: Pythia-410M | 16 | attn_zeroed | mean_pooled
[20:26:34] [PID:719667] done: Pythia-410M | 64 | attn_zeroed | words_only
[20:26:34] [PID:719665] done: Pythia-410M | 256 | default | words_only
[20:26:35] [PID:719664] done: Pythia-410M | 32 | default | mean_pooled
[20:26:35] [PID:719666] done: Pythia-410M | 32 | attn_zeroed | mean_pooled
[20:26:35] [PID:719667] done: Pythia-410M | 256 | attn_zeroed | words_only
[20:26:35] [PID:719665] done: Pythia-410M | 512 | default | words_only
[20:26:35] [PID:719664] done: Pythia-410M | 64 | default | mean_pooled
[20:26:35] [PID:719666] done: Pythia-410M | 64 | attn_zeroed | mean_pooled
[20:26:35] [PID:719667] done: Pythia-410M | 512 | attn_zeroed | words_only
[20:26:36] [PID:719665] done: Pythia-410M | 1000 | default | words_only
[20:26:36] [PID:719664] done: Pythia-410M | 256 | default | mean_pooled
[20:26:36] [PID:719666] done: Pythia-410M | 256 | attn_zeroed | mean_pooled
[20:26:36] [PID:719667] done: Pythia-410M | 1000 | attn_zeroed | words_only
[20:26:36] [PID:719665] done: Pythia-1B | 16 | default | words_only
[20:26:36] [PID:719664] done: Pythia-410M | 512 | default | mean_pooled
[20:26:36] [PID:719666] done: Pythia-410M | 512 | attn_zeroed | mean_pooled
[20:26:37] [PID:719667] done: Pythia-1B | 16 | attn_zeroed | words_only
[20:26:37] [PID:719665] done: Pythia-1B | 32 | default | words_only
[20:26:37] [PID:719664] done: Pythia-410M | 1000 | default | mean_pooled
[20:26:37] [PID:719666] done: Pythia-410M | 1000 | attn_zeroed | mean_pooled
[20:26:37] [PID:719667] done: Pythia-1B | 32 | attn_zeroed | words_only
[20:26:37] [PID:719665] done: Pythia-1B | 64 | default | words_only
[20:26:38] [PID:719664] done: Pythia-1B | 16 | default | mean_pooled
[20:26:38] [PID:719666] done: Pythia-1B | 16 | attn_zeroed | mean_pooled
[20:26:38] [PID:719667] done: Pythia-1B | 64 | attn_zeroed | words_only
[20:26:38] [PID:719665] done: Pythia-1B | 256 | default | words_only
[20:26:38] [PID:719664] done: Pythia-1B | 32 | default | mean_pooled
[20:26:38] [PID:719666] done: Pythia-1B | 32 | attn_zeroed | mean_pooled
[20:26:38] [PID:719667] done: Pythia-1B | 256 | attn_zeroed | words_only
[20:26:39] [PID:719665] done: Pythia-1B | 512 | default | words_only
[20:26:39] [PID:719664] done: Pythia-1B | 64 | default | mean_pooled
[20:26:39] [PID:719666] done: Pythia-1B | 64 | attn_zeroed | mean_pooled
[20:26:39] [PID:719667] done: Pythia-1B | 512 | attn_zeroed | words_only
[20:26:39] [PID:719665] done: Pythia-1B | 1000 | default | words_only
[20:26:39] [PID:719664] done: Pythia-1B | 256 | default | mean_pooled
[20:26:39] [PID:719666] done: Pythia-1B | 256 | attn_zeroed | mean_pooled
[20:26:39] [PID:719667] done: Pythia-1B | 1000 | attn_zeroed | words_only
[20:26:40] [PID:719665] done: Pythia-2.8B | 16 | default | words_only
[20:26:40] [PID:719664] done: Pythia-1B | 512 | default | mean_pooled
[20:26:40] [PID:719667] done: Pythia-2.8B | 16 | attn_zeroed | words_only
[20:26:40] [PID:719666] done: Pythia-1B | 512 | attn_zeroed | mean_pooled
[20:26:40] [PID:719665] done: Pythia-2.8B | 32 | default | words_only
[20:26:41] [PID:719664] done: Pythia-1B | 1000 | default | mean_pooled
[20:26:41] [PID:719667] done: Pythia-2.8B | 32 | attn_zeroed | words_only
[20:26:41] [PID:719666] done: Pythia-1B | 1000 | attn_zeroed | mean_pooled
[20:26:41] [PID:719665] done: Pythia-2.8B | 64 | default | words_only
[20:26:41] [PID:719664] done: Pythia-2.8B | 16 | default | mean_pooled
[20:26:41] [PID:719667] done: Pythia-2.8B | 64 | attn_zeroed | words_only
[20:26:41] [PID:719666] done: Pythia-2.8B | 16 | attn_zeroed | mean_pooled
[20:26:41] [PID:719665] done: Pythia-2.8B | 256 | default | words_only
[20:26:42] [PID:719664] done: Pythia-2.8B | 32 | default | mean_pooled
[20:26:42] [PID:719667] done: Pythia-2.8B | 256 | attn_zeroed | words_only
[20:26:42] [PID:719666] done: Pythia-2.8B | 32 | attn_zeroed | mean_pooled
[20:26:42] [PID:719665] done: Pythia-2.8B | 512 | default | words_only
[20:26:42] [PID:719664] done: Pythia-2.8B | 64 | default | mean_pooled
[20:26:42] [PID:719667] done: Pythia-2.8B | 512 | attn_zeroed | words_only
[20:26:42] [PID:719666] done: Pythia-2.8B | 64 | attn_zeroed | mean_pooled
[20:26:43] [PID:719665] done: Pythia-2.8B | 1000 | default | words_only
[20:26:43] [PID:719664] done: Pythia-2.8B | 256 | default | mean_pooled
[20:26:43] [PID:719667] done: Pythia-2.8B | 1000 | attn_zeroed | words_only
[20:26:43] [PID:719666] done: Pythia-2.8B | 256 | attn_zeroed | mean_pooled
[20:26:44] [PID:719664] done: Pythia-2.8B | 512 | default | mean_pooled
[20:26:44] [PID:719666] done: Pythia-2.8B | 512 | attn_zeroed | mean_pooled
[20:26:44] [PID:719664] done: Pythia-2.8B | 1000 | default | mean_pooled
[20:26:44] [PID:719666] done: Pythia-2.8B | 1000 | attn_zeroed | mean_pooled
[20:26:44] [PID:719653] Summary: 236 rows; Curves: 23600 rows
[20:26:44] [PID:719653] Saved:
  Data/brms_summary.rds
  Data/brms_curves.rds
