condition,layer,mode,term,n,estimate,se,t,p,ci_lo,ci_hi
attn_zeroed,8,individual,log_freq:model_size125,146850,0.01571127710394132,0.020206482332070345,0.7775364779353731,0.436843574264681,-0.023893026960410565,0.0553155811682932
attn_zeroed,8,individual,log_freq:model_size1300,146850,-0.04367071198807511,0.020206482332040216,-2.161222882363303,0.030679737690693362,-0.08327501605236795,-0.004066407923782274
attn_zeroed,8,mean_pooled,log_freq,146850,-0.05056900786723666,0.014552170547964842,-3.4750147890693093,5.109725124203442e-4,-0.07909097313098751,-0.0220470426034858
attn_zeroed,8,mean_pooled,model_size125,146850,0.03773286551791935,0.01435388030886241,2.6287571517941544,0.008570645634971957,0.009599545184708517,0.06586618585113019
attn_zeroed,8,mean_pooled,model_size1300,146850,1.3367385810371606,0.014353880308881555,93.1273322803204,0,1.3086052607039123,1.364871901370409
attn_zeroed,8,mean_pooled,log_freq:model_size125,146850,-0.02534337393416918,0.020579876950933548,-1.2314638223830365,0.21815141157913934,-0.06567952403576924,0.014992776167430884
attn_zeroed,8,mean_pooled,log_freq:model_size1300,146850,-0.08357345477221086,0.020579876950902857,-4.0609307320734205,4.89027970434251e-5,-0.12390960487375077,-0.04323730467067094
attn_zeroed,8,words_only,log_freq,146850,-0.07680498056446766,0.014239239986331701,-5.393896067359848,6.905227209015818e-8,-0.10471360814230783,-0.04889635298662749
attn_zeroed,8,words_only,model_size125,146850,-0.01114936539060517,0.01404521378988079,-0.793819557138959,0.4273017682888073,-0.03867770547681719,0.016378974695606847
attn_zeroed,8,words_only,model_size1300,146850,1.3547153710736668,0.014045213789899522,96.45388039930707,0,1.327187030987418,1.3822437111599155
attn_zeroed,8,words_only,log_freq:model_size125,146850,0.010374650701762501,0.020137326306590167,0.5151950434635049,0.6064175077944802,-0.029094108926106643,0.049843410329631646
attn_zeroed,8,words_only,log_freq:model_size1300,146850,-0.046144323759340855,0.020137326306560142,-2.291482148963758,0.02193695202315038,-0.08561308338715115,-0.006675564131530559
attn_zeroed,9,individual,log_freq,146850,-0.0732722012019729,0.01427017740035492,-5.134638424337354,2.8304668902122166e-7,-0.10124146549687271,-0.045302936907073106
attn_zeroed,9,individual,model_size125,146850,0.050329142177618996,0.01407572964567641,3.575597389587432,3.495411648174145e-4,0.022740991620101167,0.07791729273513683
attn_zeroed,9,individual,model_size1300,146850,1.429537203203428,0.014075729645695185,101.56043339754162,0,1.4019490526458733,1.4571253537609825
attn_zeroed,9,individual,log_freq:model_size125,146850,-0.014428343860817108,0.02018107841708663,-0.7149441453337361,0.47464469402332854,-0.05398285675632991,0.025126169034695695
