model,condition,n,r2_probe,r2_behav,beta2_probe,beta2_probe_lo,beta2_probe_hi,beta2_behav,beta2_behav_lo,beta2_behav_hi
znhoughton_opt-babylm-125m-20eps-seed964_step384,attn_zeroed,48950,0.2534374806785255,0.0980390569663041,-0.008338380321801361,-0.020737660691052304,0.004060900047449583,-0.021415109941713497,-0.03636852169548711,-0.006461698187939877
znhoughton_opt-babylm-125m-20eps-seed964_step384,default,48950,0.25528500068746024,0.10839108366250712,-0.0054743521810863005,-0.018119246578582264,0.007170542216409665,-0.020411674943142256,-0.03530518857299266,-0.005518161313291851
znhoughton_opt-babylm-125m-20eps-seed964_step48,attn_zeroed,48950,0.6541437577396566,0.043401311271454066,-0.004753222265772204,-0.014982694553580062,0.005476250022035653,-0.03772921786752705,-0.05811681914649157,-0.017341616588562536
znhoughton_opt-babylm-125m-20eps-seed964_step48,default,48950,0.37487438655664906,0.043361313583146925,-0.010741293316834037,-0.025017588526161795,0.003535001892493719,-0.03633334832930044,-0.056707313202756446,-0.015959383455844443
znhoughton_opt-babylm-125m-20eps-seed964_step912,attn_zeroed,48950,0.1801190793780516,0.11817989046860956,0.005187070018385115,-0.008274548269081158,0.01864868830585139,-0.013373614125118075,-0.028030193582242575,0.001282965332006428
znhoughton_opt-babylm-125m-20eps-seed964_step912,default,48950,0.2327916231195064,0.11465920680417806,0.015249465087639413,0.0009590250605667604,0.029539905114712064,-0.006072573271703262,-0.021960014268513163,0.00981486772510664
znhoughton_opt-babylm-1_3b-20eps-seed964,attn_zeroed,48950,0.099641782677854,0.10715444927798291,0.008321185055740948,-0.017070870223305668,0.033713240334787564,-0.016187630033508843,-0.04160360970339848,0.009228349636380789
znhoughton_opt-babylm-1_3b-20eps-seed964,default,48950,0.15790520535036093,0.1360784437628868,0.06889121170745119,0.04115495439044235,0.09662746902446002,0.03862325508938559,0.010398192004791695,0.06684831817397949
znhoughton_opt-babylm-350m-20eps-seed964,attn_zeroed,48950,0.15548573996612194,0.1593002619165835,0.02063592518564611,0.0056156374100519366,0.03565621296124028,0.012521093945568093,-0.0027594179403357556,0.02780160583147194
znhoughton_opt-babylm-350m-20eps-seed964,default,48950,0.22258527918023702,0.14981345307809113,0.0641063384029884,0.048157385189057704,0.0800552916169191,0.056498835583778134,0.039545232690453305,0.07345243847710296
znhoughton_opt-babylm-350m-20eps-seed964_step1824,attn_zeroed,48950,0.2406456837039502,0.14433763653742698,0.008944173686036727,-0.003839862300594434,0.02172820967266789,-0.008987669566880317,-0.023129134661878367,0.0051537955281177345
znhoughton_opt-babylm-350m-20eps-seed964_step1824,default,48950,0.2735556765162783,0.13265882578706492,0.006641299217012626,-0.007156237154433347,0.0204388355884586,-0.0016548570868446452,-0.017201004896558326,0.013891290722869038
znhoughton_opt-babylm-350m-20eps-seed964_step288,attn_zeroed,48950,0.5113549617807467,0.08128230919500434,0.0026312607064106095,-0.007280547482292745,0.012543068895113963,-0.01937204964315971,-0.0354368479746769,-0.003307251311642518
znhoughton_opt-babylm-350m-20eps-seed964_step288,default,48950,0.45436949129906046,0.08513991770021563,8.345132802148152e-05,-0.010052957702427442,0.010219860358470405,-0.01616349878897569,-0.03160917878353448,-0.0007178187944168971
znhoughton_opt-babylm-350m-20eps-seed964_step4560,attn_zeroed,48950,0.17485556312209136,0.16247094168142467,0.021658518296071995,0.007539128059342558,0.03577790853280143,0.010362742855649199,-0.004084385134954497,0.024809870846252892
znhoughton_opt-babylm-350m-20eps-seed964_step4560,default,48950,0.21588939171583837,0.14695821293868883,0.045106861082503384,0.02987772569302727,0.0603359964719795,0.04153732393282698,0.02546036315776952,0.05761428470788445
znhoughton_opt-babylm-350m-20eps-seed964_step48,attn_zeroed,48950,0.6577358162583283,0.042407516456885695,-0.001131988332178386,-0.012461833888140861,0.01019785722378409,-0.036353906741938,-0.05925054347500026,-0.013457270008875748
znhoughton_opt-babylm-350m-20eps-seed964_step48,default,48950,0.4487093901905668,0.042288981267161914,-0.028653941268547284,-0.043708349260945675,-0.013599533276148894,-0.03616078162604462,-0.05908294120250961,-0.01323862204957963
znhoughton_opt-babylm-350m-20eps-seed964_step768,attn_zeroed,48950,0.2616974154089196,0.09468232623467095,0.003758073301116705,-0.00805794671889648,0.01557409332112989,-0.017471069128567523,-0.03191554470247818,-0.003026593554656872
znhoughton_opt-babylm-350m-20eps-seed964_step768,default,48950,0.31982535546411084,0.1007502889419822,-0.003460213345145227,-0.014859784420318288,0.007939357730027834,-0.014151542921502905,-0.028688689117887686,0.00038560327488187593
znhoughton_opt-babylm-350m-20eps-seed964_step96,attn_zeroed,48950,0.7418413791070032,0.045073484053302054,-0.003797660841103407,-0.01284619629718171,0.0052508746149748965,-0.03458544826139613,-0.055006871281457134,-0.014164025241335133
znhoughton_opt-babylm-350m-20eps-seed964_step96,default,48950,0.44403501097063225,0.044718011601681436,-0.009196811968781436,-0.022922063594001906,0.004528439656439034,-0.03418887329740732,-0.054523535173717705,-0.013854211421096944
