condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
attn_zeroed,16,words_only,pair_novel,1.4e-05,2.2e-05,10,20.7,26.7
attn_zeroed,16,words_only,word_novel,0.000398,0.000331,10,23.1,29.1
attn_zeroed,17,mean_pooled,pair_novel,4e-05,4.1e-05,10,26.8,32.8
attn_zeroed,17,mean_pooled,word_novel,0.000341,0.000554,10,31.4,37.4
attn_zeroed,17,words_only,pair_novel,5.1e-05,8.1e-05,10,18.9,24.9
attn_zeroed,17,words_only,word_novel,0.000438,0.000457,10,24.8,30.8
attn_zeroed,18,mean_pooled,pair_novel,9e-06,1.7e-05,10,23.8,29.8
attn_zeroed,18,mean_pooled,word_novel,0.000355,0.000719,10,27.4,33.4
attn_zeroed,18,words_only,pair_novel,1.3e-05,1.2e-05,10,21.5,27.5
attn_zeroed,18,words_only,word_novel,0.000258,0.000359,10,24.1,30.1
attn_zeroed,19,mean_pooled,pair_novel,5.6e-05,9.2e-05,10,25.3,31.3
attn_zeroed,19,mean_pooled,word_novel,0.000362,0.000357,10,29.4,35.4
attn_zeroed,19,words_only,pair_novel,4.4e-05,3.6e-05,10,21.8,27.8
attn_zeroed,19,words_only,word_novel,0.000259,0.000286,10,24.8,30.8
attn_zeroed,20,mean_pooled,pair_novel,1.9e-05,1.5e-05,10,25.7,31.7
attn_zeroed,20,mean_pooled,word_novel,0.000176,0.0002,10,34.1,40.1
attn_zeroed,20,words_only,pair_novel,3e-05,3.3e-05,10,18.9,24.9
attn_zeroed,20,words_only,word_novel,0.000122,0.000117,10,23.8,29.8
attn_zeroed,21,mean_pooled,pair_novel,3.3e-05,3.7e-05,10,29.9,35.9
attn_zeroed,21,mean_pooled,word_novel,0.00017,0.00031,10,33.4,39.4
attn_zeroed,21,words_only,pair_novel,1.5e-05,1.8e-05,10,23.0,29.0
attn_zeroed,21,words_only,word_novel,0.000241,0.000373,10,26.7,32.7
attn_zeroed,22,mean_pooled,pair_novel,3.2e-05,3.5e-05,10,24.8,30.8
attn_zeroed,22,mean_pooled,word_novel,0.000358,0.000367,10,33.5,39.5
attn_zeroed,22,words_only,pair_novel,3.5e-05,2.8e-05,10,20.6,26.6
attn_zeroed,22,words_only,word_novel,6.3e-05,7.8e-05,10,23.6,29.6
attn_zeroed,23,mean_pooled,pair_novel,3.9e-05,4.7e-05,10,23.9,29.9
attn_zeroed,23,mean_pooled,word_novel,0.000327,0.000389,10,29.3,35.3
attn_zeroed,23,words_only,pair_novel,1.3e-05,1.8e-05,10,21.5,27.5
attn_zeroed,23,words_only,word_novel,0.000229,0.000333,10,24.9,30.9
attn_zeroed,24,mean_pooled,pair_novel,3e-05,2.5e-05,10,24.2,30.2
attn_zeroed,24,mean_pooled,word_novel,0.000295,0.000179,10,37.5,43.5
attn_zeroed,24,words_only,pair_novel,4.2e-05,2.9e-05,10,21.7,27.7
attn_zeroed,24,words_only,word_novel,0.000182,0.000165,10,28.4,34.4
