condition,layer,mode,n,estimate,se,t,p,ci_lo,ci_hi
default,19,mean_pooled,48950,0.04485742001612819,0.01253808607928955,3.577692778024855,3.4697497067227905e-4,0.020282615190903054,0.06943222484135333
default,19,words_only,48950,0.0019177655640341587,0.012207897803877248,0.1570922033296407,0.8751728300630295,-0.022009866130258477,0.025845397258326793
default,20,individual,48950,0.010630891576374328,0.012280419294065389,0.8656782249700377,0.38667088730186716,-0.013438883141641189,0.034700666294389844
default,20,mean_pooled,48950,0.057760228793006164,0.012320055613791781,4.6883090956461295,2.762130760202744e-6,0.03361276639482108,0.08190769119119125
default,20,words_only,48950,0.0010036872339346636,0.012159526143976728,0.08254328516180248,0.9342150366842388,-0.02282913540468472,0.024836509872554046
default,21,individual,48950,0.020612443802353015,0.01197532639804243,1.7212427550803515,0.08521310125411587,-0.0028593450407919004,0.044084232645497934
default,21,mean_pooled,48950,0.04317666752571804,0.011849888271259637,3.6436349894063924,2.6909226501905804e-4,0.019950738972878586,0.0664025960785575
default,21,words_only,48950,0.0059434270973772775,0.011828209725666016,0.5024790086770818,0.615332875114488,-0.017240011236182382,0.029126865430936937
default,22,individual,48950,0.015299148082889928,0.012012146155635874,1.2736398545826764,0.20279712880436462,-0.008244807943575383,0.038843104109355236
default,22,mean_pooled,48950,0.03119024143205563,0.011753601448568265,2.6536752644318216,0.007964612812691911,0.008153036250543963,0.0542274466135673
default,22,words_only,48950,0.022900819958452598,0.011652371154096593,1.9653356090018999,0.0493810523400039,6.202741450852742e-5,0.045739612502396665
default,23,individual,48950,0.012518265222385784,0.011861658593633617,1.0553553808322034,0.29126803030363724,-0.010730733308857182,0.03576726375362875
default,23,mean_pooled,48950,0.04065451034924633,0.011646575248353302,3.4906836973379303,4.82210251460927e-4,0.01782707785272306,0.0634819428457696
default,23,words_only,48950,0.016548765066051473,0.011574351321015081,1.4297790525853964,0.1527868254652161,-0.006137107633639668,0.03923463776574261
default,24,individual,48950,0.025915844368913896,0.011966991150925739,2.1656107238709796,0.030345759534438316,0.002460392713898602,0.04937129602392919
default,24,mean_pooled,48950,0.04211306182140344,0.01178310334811952,3.57402125545511,3.5187822684984297e-4,0.01901803254944761,0.06520809109335926
default,24,words_only,48950,0.007804318297871113,0.011705743247163931,0.6667084808785588,0.5049615030315966,-0.015139084213012816,0.030747720808755045
