condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
attn_zeroed,19,words_only,word_novel,0.000156,0.000109,10,37.5,43.5
attn_zeroed,20,mean_pooled,pair_novel,2.2e-05,1.9e-05,10,43.1,49.1
attn_zeroed,20,mean_pooled,word_novel,0.000171,0.000255,10,65.9,71.9
attn_zeroed,20,words_only,pair_novel,3.4e-05,5.1e-05,10,32.5,38.5
attn_zeroed,20,words_only,word_novel,0.000621,0.001661,10,44.4,50.4
attn_zeroed,21,mean_pooled,pair_novel,3.3e-05,5.9e-05,10,35.5,41.5
attn_zeroed,21,mean_pooled,word_novel,0.000117,0.00017,10,64.2,70.2
attn_zeroed,21,words_only,pair_novel,3.5e-05,5.5e-05,10,34.6,40.6
attn_zeroed,21,words_only,word_novel,0.0001,0.000161,10,35.8,41.8
attn_zeroed,22,mean_pooled,pair_novel,3.8e-05,5.5e-05,10,40.0,46.0
attn_zeroed,22,mean_pooled,word_novel,0.00025,0.000429,10,58.1,64.1
attn_zeroed,22,words_only,pair_novel,2.4e-05,3.5e-05,10,31.5,37.5
attn_zeroed,22,words_only,word_novel,0.000298,0.000452,10,34.5,40.5
attn_zeroed,23,mean_pooled,pair_novel,3.2e-05,4.7e-05,10,36.5,42.5
attn_zeroed,23,mean_pooled,word_novel,6.3e-05,0.00011,10,68.9,74.9
attn_zeroed,23,words_only,pair_novel,2.2e-05,2.8e-05,10,33.8,39.8
attn_zeroed,23,words_only,word_novel,0.000279,0.000473,10,36.6,42.6
attn_zeroed,24,mean_pooled,pair_novel,4e-05,3.9e-05,10,43.4,49.4
attn_zeroed,24,mean_pooled,word_novel,9.6e-05,0.000135,10,57.7,63.7
attn_zeroed,24,words_only,pair_novel,2.8e-05,2.8e-05,10,27.9,33.9
attn_zeroed,24,words_only,word_novel,0.000255,0.000504,10,33.0,39.0
