condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
attn_zeroed,22,mean_pooled,word_novel,0.000363,0.000319,10,51.3,57.3
attn_zeroed,22,words_only,pair_novel,2.9e-05,3.7e-05,10,26.7,32.7
attn_zeroed,22,words_only,word_novel,0.000653,0.000891,10,35.4,41.4
attn_zeroed,23,mean_pooled,pair_novel,3.4e-05,4e-05,10,35.1,41.1
attn_zeroed,23,mean_pooled,word_novel,0.000284,0.000408,10,46.7,52.7
attn_zeroed,23,words_only,pair_novel,1.8e-05,1.7e-05,10,28.5,34.5
attn_zeroed,23,words_only,word_novel,0.000417,0.000509,10,38.3,44.3
attn_zeroed,24,mean_pooled,pair_novel,1.4e-05,2.6e-05,10,35.5,41.5
attn_zeroed,24,mean_pooled,word_novel,0.000321,0.000405,10,56.1,62.1
attn_zeroed,24,words_only,pair_novel,2.9e-05,3.1e-05,10,29.0,35.0
attn_zeroed,24,words_only,word_novel,0.000336,0.000327,10,35.6,41.6
